DBHID	PlotName	PlotID	Family	Genus	SpeciesName	Mnemonic	Subspecies	SpeciesID	SubspeciesID	QuadratName	QuadratID	PX	PY	QX	QY	TreeID	Tag	StemID	StemNumber	StemTag	PrimaryStem	CensusID	PlotCensusNumber	DBH	HOM	ExactDate	Date	ListOfTSM	HighHOM	LargeStem	Status
30	P14	112	Rubiaceae	Pentagonia	macrophylla	pentma	\N	750	\N	0201	685	56.30000	20.20000	16.30000	0.20000	416613	507333	416603	1	\N	main	123	1	29	1.30	1996-11-15	13468	\N	1	\N	alive
2405659	P14	112	Rubiaceae	Pentagonia	macrophylla	pentma	\N	750	\N	0201	685	56.30000	20.20000	16.30000	0.20000	416613	507333	416603	1	\N	main	204	2	31	1.30	2010-11-11	18577	\N	1	\N	alive
168	P14	112	Salicaceae	Casearia	sylvestris	casesy	\N	167	\N	0101	397	29.70000	27.90000	9.70000	7.90000	416614	507334	416604	1	\N	main	123	1	86	1.30	1996-11-13	13466	\N	1	\N	alive
2402735	P14	112	Salicaceae	Casearia	sylvestris	casesy	\N	167	\N	0101	397	29.70000	27.90000	9.70000	7.90000	416614	507334	416604	1	\N	main	204	2	94	1.30	2010-11-11	18577	\N	1	\N	alive
306	P14	112	Melastomataceae	Mouriri	myrtilloides	mourmy	\N	671	\N	0101	397	33.40000	33.10000	13.40000	13.10000	416615	507335	416605	1	\N	main	123	1	22	1.30	1996-11-13	13466	L	1	\N	alive
2402736	P14	112	Melastomataceae	Mouriri	myrtilloides	mourmy	\N	671	\N	0101	397	33.40000	33.10000	13.40000	13.10000	416615	507335	416605	1	\N	main	204	2	\N	\N	2010-11-11	18577	D;N	1	\N	dead
444	P14	112	Rubiaceae	Pentagonia	macrophylla	pentma	\N	750	\N	0203	793	41.30000	60.10000	1.30000	0.10000	416616	507336	416606	1	\N	main	123	1	37	1.30	1996-11-15	13468	M	1	\N	alive
720	P14	112	Fabaceae-papilionoideae	Swartzia	simplex	swars2	var.ochnacea	980	8	0202	739	46.40000	46.90000	6.40000	6.90000	416617	507337	416607	1	\N	main	123	1	33	1.30	1996-11-15	13468	\N	1	\N	alive
2406739	P14	112	Fabaceae-papilionoideae	Swartzia	simplex	swars2	var.ochnacea	980	8	0202	739	46.40000	46.90000	6.40000	6.90000	416617	507337	416607	1	\N	main	204	2	\N	\N	2010-11-16	18582	D;N	1	\N	dead
857	P14	112	Melastomataceae	Miconia	argentea	micoar	\N	630	\N	0202	739	43.60000	43.60000	3.60000	3.60000	416618	507338	416608	1	\N	main	123	1	18	1.30	1996-11-15	13468	M	1	\N	alive
1133	P14	112	Myrtaceae	Eugenia	coloradoensis	eugeco	\N	358	\N	0202	739	56.60000	55.20000	16.60000	15.20000	416619	507339	416609	1	\N	main	123	1	25	1.30	1996-11-15	13468	L	1	\N	alive
2406741	P14	112	Myrtaceae	Eugenia	coloradoensis	eugeco	\N	358	\N	0202	739	56.60000	55.20000	16.60000	15.20000	416619	507339	416609	1	\N	main	204	2	\N	\N	2010-11-16	18582	D;T	1	\N	dead
1271	P14	112	Myrtaceae	Eugenia	coloradoensis	eugeco	\N	358	\N	0202	739	58.60000	51.00000	18.60000	11.00000	416620	507340	416610	1	\N	main	123	1	14	1.30	1996-11-15	13468	\N	1	\N	alive
2406742	P14	112	Myrtaceae	Eugenia	coloradoensis	eugeco	\N	358	\N	0202	739	58.60000	51.00000	18.60000	11.00000	416620	507340	416610	1	\N	main	204	2	\N	\N	2010-11-16	18582	D;N	1	\N	dead
1409	P14	112	Violaceae	Hybanthus	prunifolius	hybapr	\N	494	\N	0202	739	58.50000	44.80000	18.50000	4.80000	416621	507341	416611	1	\N	main	123	1	31	1.30	1996-11-15	13468	L	1	\N	alive
2406743	P14	112	Violaceae	Hybanthus	prunifolius	hybapr	\N	494	\N	0202	739	58.50000	44.80000	18.50000	4.80000	416621	507341	416611	1	\N	main	204	2	\N	\N	2010-11-16	18582	D;N	1	\N	dead
1547	P14	112	Clusiaceae	Garcinia	intermedia	gar2in	\N	1125	\N	0000	19	8.90000	6.80000	8.90000	6.80000	416622	515701	416612	1	\N	main	123	1	170	1.30	1996-11-08	13461	\N	1	\N	alive
2401183	P14	112	Clusiaceae	Garcinia	intermedia	gar2in	\N	1125	\N	0000	19	8.90000	6.80000	8.90000	6.80000	416622	515701	416612	1	\N	main	204	2	\N	\N	2010-11-15	18581	D;N	1	\N	dead
123	P14	112	Clusiaceae	Garcinia	intermedia	gar2in	\N	1125	\N	0000	19	8.90000	6.80000	8.90000	6.80000	416622	515701	416612	1	\N		256	3	\N	0.00	2012-05-01	19114	D;N	1	\N	dead
1685	P14	112	Bignoniaceae	Jacaranda	copaia	jac1co	\N	540	\N	0000	19	8.60000	9.40000	8.60000	9.40000	416623	515702	416613	1	\N	main	123	1	864	2.65	1996-11-08	13461	B	1	\N	alive
1823	P14	112	Bignoniaceae	Jacaranda	copaia	jac1co	\N	540	\N	0000	19	8.60000	9.40000	8.60000	9.40000	416623	515702	416613	1	\N	main	123	1	1000	1.30	1997-01-02	13516	\N	0	\N	alive
2401184	P14	112	Bignoniaceae	Jacaranda	copaia	jac1co	\N	540	\N	0000	19	8.60000	9.40000	8.60000	9.40000	416623	515702	416613	1	\N	main	204	2	\N	\N	2010-11-15	18581	D;N	1	\N	dead
261	P14	112	Bignoniaceae	Jacaranda	copaia	jac1co	\N	540	\N	0000	19	8.60000	9.40000	8.60000	9.40000	416623	515702	416613	1	\N		256	3	\N	0.00	2012-05-01	19114	D;N	1	\N	dead
1961	P14	112	Burseraceae	Protium	panamense	protpa	\N	827	\N	0000	19	5.80000	8.50000	5.80000	8.50000	416624	515703	416614	1	\N	main	123	1	297	1.50	1996-11-08	13461	\N	1	\N	alive
2401185	P14	112	Burseraceae	Protium	panamense	protpa	\N	827	\N	0000	19	5.80000	8.50000	5.80000	8.50000	416624	515703	416614	1	\N	main	204	2	\N	\N	2010-11-15	18581	D;N	1	\N	dead
399	P14	112	Burseraceae	Protium	panamense	protpa	\N	827	\N	0000	19	5.80000	8.50000	5.80000	8.50000	416624	515703	416614	1	\N		256	3	\N	0.00	2012-05-01	19114	D;N	1	\N	dead
2099	P14	112	Moraceae	Maquira	guianensis	maquco	\N	1137	\N	0000	19	3.10000	8.90000	3.10000	8.90000	416625	515704	416615	1	\N	main	123	1	105	1.30	1996-11-08	13461	\N	1	\N	alive
2401186	P14	112	Moraceae	Maquira	guianensis	maquco	\N	1137	\N	0000	19	3.10000	8.90000	3.10000	8.90000	416625	515704	416615	1	\N	main	204	2	110	1.30	2010-11-15	18581	\N	1	\N	alive
537	P14	112	Moraceae	Maquira	guianensis	maquco	\N	1137	\N	0000	19	3.10000	8.90000	3.10000	8.90000	416625	515704	416615	1	\N		256	3	112	1.30	2012-05-01	19114	\N	1	\N	alive
135	P14	112	Moraceae	Maquira	guianensis	maquco	\N	1137	\N	0000	19	3.10000	8.90000	3.10000	8.90000	416625	515704	416615	1	\N		268	4	114	1.30	2013-04-15	19463	\N	1	\N	alive
2413554	P14	112	Moraceae	Maquira	guianensis	maquco	\N	1137	\N	0000	19	3.10000	8.90000	3.10000	8.90000	416625	515704	416615	1	\N	\N	278	5	114	1.30	2014-04-09	19822	\N	1	\N	alive
2422200	P14	112	Moraceae	Maquira	guianensis	maquco	\N	1137	\N	0000	19	3.10000	8.90000	3.10000	8.90000	416625	515704	416615	1	\N	\N	286	6	117	1.30	2015-06-24	20263	\N	1	\N	alive
2237	P14	112	Rubiaceae	Alseis	blackiana	alsebl	\N	33	\N	0000	19	5.30000	11.70000	5.30000	11.70000	416626	515705	416616	1	\N	main	123	1	124	1.30	1996-11-08	13461	\N	1	\N	alive
2401187	P14	112	Rubiaceae	Alseis	blackiana	alsebl	\N	33	\N	0000	19	5.30000	11.70000	5.30000	11.70000	416626	515705	416616	1	\N	main	204	2	195	1.30	2010-11-15	18581	L;Q	1	\N	alive
675	P14	112	Rubiaceae	Alseis	blackiana	alsebl	\N	33	\N	0000	19	5.30000	11.70000	5.30000	11.70000	416626	515705	416616	1	\N		256	3	201	1.30	2012-05-01	19114	L	1	\N	alive
273	P14	112	Rubiaceae	Alseis	blackiana	alsebl	\N	33	\N	0000	19	5.30000	11.70000	5.30000	11.70000	416626	515705	416616	1	\N		268	4	\N	0.00	2013-04-15	19463	D;C	1	\N	dead
2413559	P14	112	Rubiaceae	Alseis	blackiana	alsebl	\N	33	\N	0000	19	5.30000	11.70000	5.30000	11.70000	416626	515705	416616	1	\N	\N	278	5	\N	\N	2014-04-09	19822	C;D	1	\N	dead
2375	P14	112	Clusiaceae	Garcinia	intermedia	gar2in	\N	1125	\N	0000	19	2.80000	12.50000	2.80000	12.50000	416627	515706	416617	1	\N	main	123	1	183	1.30	1996-11-08	13461	M	1	\N	alive
2401188	P14	112	Clusiaceae	Garcinia	intermedia	gar2in	\N	1125	\N	0000	19	2.80000	12.50000	2.80000	12.50000	416627	515706	416617	1	\N	main	204	2	\N	\N	2010-11-15	18581	D;N	1	\N	dead
812	P14	112	Clusiaceae	Garcinia	intermedia	gar2in	\N	1125	\N	0000	19	2.80000	12.50000	2.80000	12.50000	416627	515706	416617	1	\N		256	3	\N	0.00	2012-05-01	19114	D;N	1	\N	dead
2651	P14	112	Salicaceae	Laetia	thamnia	laetth	\N	553	\N	0000	19	0.90000	13.10000	0.90000	13.10000	416628	515707	416618	1	\N	main	123	1	101	1.30	1996-11-08	13461	\N	1	\N	alive
2789	P14	112	Burseraceae	Tetragastris	panamensis	tet2pa	\N	1007	\N	0000	19	4.30000	15.90000	4.30000	15.90000	416629	515708	416619	1	\N	main	123	1	130	1.30	1996-11-08	13461	\N	1	\N	alive
2401190	P14	112	Burseraceae	Tetragastris	panamensis	tet2pa	\N	1007	\N	0000	19	4.30000	15.90000	4.30000	15.90000	416629	515708	416619	1	\N	main	204	2	175	1.30	2010-11-15	18581	\N	1	\N	alive
1502	P14	112	Burseraceae	Tetragastris	panamensis	tet2pa	\N	1007	\N	0000	19	4.30000	15.90000	4.30000	15.90000	416629	515708	416619	1	\N		256	3	173	1.30	2012-05-01	19114	\N	1	\N	alive
962	P14	112	Burseraceae	Tetragastris	panamensis	tet2pa	\N	1007	\N	0000	19	4.30000	15.90000	4.30000	15.90000	416629	515708	416619	1	\N		268	4	173	1.30	2013-04-15	19463	\N	1	\N	alive
2413556	P14	112	Burseraceae	Tetragastris	panamensis	tet2pa	\N	1007	\N	0000	19	4.30000	15.90000	4.30000	15.90000	416629	515708	416619	1	\N	\N	278	5	173	1.30	2014-04-09	19822	\N	1	\N	alive
